,US State Name,State_x,Month_x,Avg_temp,Density (Pop./ mi2),Population,sick death,all death
207,Delaware,DE,May,62.8,485.0,"945,934",9.875,153.65
208,Florida,FL,May,76.63076923076923,378.0,"20,271,272",187.2,3507.1
209,Georgia,GA,May,71.86666666666666,177.0,"10,214,860",78.0,1419.5
210,Hawaii,HI,May,74.95,222.0,"1,431,603",19.725,201.075
211,Idaho,ID,May,57.29999999999999,20.0,"1,654,930",13.975,240.6
212,Illinois,IL,May,61.42,231.0,"12,859,995",129.675,1925.325
213,Indiana,IN,May,62.05,184.0,"6,619,680",77.75,1126.0
214,Iowa,IA,May,60.175,55.0,"3,123,899",38.3,532.625
215,Kansas,KS,May,63.38000000000001,36.0,"2,911,641",30.375,471.175
216,Kentucky,KY,May,65.575,112.0,"4,425,092",64.725,834.225
217,Louisiana,LA,May,75.35,108.0,"4,670,724",40.675,803.6
218,Maine,ME,May,52.7,43.0,"1,329,328",17.9,254.15
219,Maryland,MD,May,62.9,618.0,"6,006,401",58.6,849.45
220,Massachusetts,MA,May,57.1,871.0,"6,794,422",82.85,1020.725
221,Michigan,MI,May,55.422222222222224,175.0,"9,922,576",110.925,1722.975
222,Minnesota,MN,May,55.38,68.0,"5,489,594",50.5,761.4
223,Mississippi,MS,May,71.46666666666665,63.0,"2,992,333",37.75,563.65
224,Missouri,MO,May,65.525,88.0,"6,083,672",67.8,1066.675
225,Montana,MT,May,53.61666666666667,7.0,"1,032,949",10.575,177.85
226,Nebraska,NE,May,59.9125,24.0,"1,896,190",20.6,294.475
227,Nevada,NV,May,58.94,26.0,"2,890,845",27.275,414.725
228,New Hampshire,NH,May,45.65,148.0,"1,330,608",13.65,210.875
229,New Jersey,NJ,May,61.46666666666667,1218.0,"8,958,013",76.1,1317.975
230,New Mexico,NM,May,65.73333333333333,17.0,"2,085,109",23.275,326.75
231,New York,NY,May,58.85555555555556,420.0,"19,795,791",138.75,1796.3
232,North Carolina,NC,May,66.83333333333333,206.0,"10,042,802",113.1,1576.25
233,North Dakota,ND,May,55.37499999999999,10.0,"756,927",9.025,114.775
234,Ohio,OH,May,60.2625,284.0,"11,614,373",137.525,2095.475
235,Oklahoma,OK,May,69.2,57.0,"3,911,338",54.475,708.9
236,Oregon,OR,May,55.225,41.0,"4,028,977",37.075,642.65
237,Pennsylvania,PA,May,60.475,286.0,"12,802,503",144.1,2383.9
238,Rhode Island,RI,May,58.5,1021.0,"1,056,298",15.0,182.025
239,South Carolina,SC,May,71.45,162.0,"4,896,146",58.975,842.3
240,South Dakota,SD,May,56.875,11.0,"858,469",12.15,135.875
241,Tennessee,TN,May,67.51666666666667,160.0,"6,600,299",90.525,1196.675
242,Texas,TX,May,73.91904761904762,105.0,"27,469,114",235.0,3391.925
243,Utah,UT,May,58.6,36.0,"2,995,919",21.4,314.625
244,Vermont,VT,May,56.3,67.0,"626,042",8.975,105.025
